distance_m,altitude_m
13498.0,9.0
13526.9,9.8
13554.2,10.8
13589.5,12.0
13615.8,12.4
13642.7,12.8
13669.9,13.0
13706.6,13.6
13734.3,14.0
13762.2,14.6
13789.6,15.2
13825.2,16.2
13852.8,16.0
13881.7,16.0
13910.9,16.8
13939.2,17.6
13975.3,18.6
14002.0,19.2
14028.1,20.0
14061.8,21.2
14094.2,22.0
14118.4,22.6
14150.9,23.6
14182.8,24.6
14206.2,25.2
14238.3,26.0
14271.2,26.8
14295.5,27.6
14326.6,28.6
14357.8,29.6
14390.8,30.2
14416.6,30.2
14443.3,30.4
14480.9,30.6
14510.0,31.0
14539.3,31.6
14568.4,32.2
14597.0,33.0
14624.5,33.8
14658.0,34.8
14682.8,35.8
14715.6,36.8
14748.2,38.0
14771.8,38.8
14802.5,40.0
14832.9,41.0
14862.3,42.2
14889.9,43.2
14923.9,44.4
14952.5,45.0
14983.6,44.8
15009.3,45.0
15043.1,46.0
15067.6,46.6
15099.8,47.6
15131.8,48.6
15163.3,49.6
15194.2,50.6
15217.0,51.6
15246.3,52.6
15282.0,54.0
15310.1,55.0
15339.2,55.6
15370.1,56.4
15402.3,56.6
15427.5,57.0
15460.2,58.2
15484.1,58.8
15516.0,59.6
15548.1,60.2
15580.6,61.0
15603.8,61.6
15635.7,62.4
15666.5,63.2
15696.3,64.0
15726.1,65.0
15756.5,65.2
15781.8,65.2
15819.0,63.6
15840.9,62.0
15878.4,59.4
15905.9,57.8
15934.8,56.8
15963.8,56.8
15991.6,57.8
16027.2,60.4
16057.1,62.8
16083.400000000001,64.8
16108.599999999999,65.2
16146.5,65.2
16175.8,65.2
16205.400000000001,65.2
16236.0,65.2
16256.599999999999,65.2
16288.0,65.0
16320.8,64.4
16354.900000000001,63.2
16378.5,62.6
16414.6,62.2
16439.0,61.8
16463.7,61.0
16501.9,60.2
16527.4,60.4
16552.6,60.6
16590.7,60.0
16616.5,59.4
16642.9,58.6
16670.0,58.2
16710.9,57.8
16737.3,57.8
16762.8,57.8
16799.7,57.8
16823.7,57.8
16859.3,57.8
16882.8,57.8
16917.8,57.8
16941.2,57.8
16976.7,57.6
17000.3,57.6
17034.6,58.0
17067.2,58.6
17097.9,59.4
17127.0,60.4
17154.4,61.2
17181.2,61.8
17208.4,62.0
17244.4,62.6
17270.5,63.2
17304.1,64.2
17328.7,64.8
17362.1,65.4
17387.0,66.0
17419.9,66.6
17453.3,67.2
17478.4,68.0
17510.9,69.0
17542.0,69.8
17565.1,70.6
17595.4,71.6
17626.4,72.4
17657.8,73.2
17689.1,74.0
17713.6,74.4
17745.6,75.4
17775.9,76.8
17804.3,78.0
17833.2,79.4
17862.5,80.8
17898.9,82.6
17928.6,83.6
17951.3,84.4
17982.4,85.4
18013.8,86.2
18046.1,87.2
18070.9,87.8
18104.0,88.6
18136.9,89.6
18161.7,90.2
18194.9,91.2
18220.2,91.8
18254.2,92.8
18279.7,93.6
18313.9,94.8
18339.4,95.6
18373.4,96.6
18398.8,97.4
18432.6,98.6
18458.0,99.2
18492.6,100.0
18519.2,100.2
18547.2,99.8
18577.6,99.0
18610.5,98.4
18644.1,98.0
18666.4,98.0
18699.3,98.2
18731.9,98.2
18753.5,98.2
18785.5,98.2
18817.8,97.8
18851.0,97.2
18873.8,96.6
18908.6,95.8
18932.5,95.0
18969.0,94.0
18993.7,93.2
19031.1,92.2
19056.4,91.4
19082.0,90.8
19120.6,89.6
19146.7,89.0
19173.2,88.2
19199.8,87.6
19239.9,86.8
19266.5,86.2
19292.9,85.4
19319.5,84.6
19346.4,83.6
19387.2,82.4
19414.4,81.8
19441.4,81.2
19468.2,80.6
19494.7,80.2
19534.5,79.0
19561.5,78.4
19588.7,77.6
19616.1,76.6
19643.4,76.0
19684.0,75.8
19710.3,75.4
19736.6,74.8
19763.1,74.0
19803.2,72.8
19830.3,72.2
19857.5,71.4
19884.9,70.6
19912.5,69.8
19940.3,68.8
19982.3,67.6
20010.7,66.8
20039.3,65.8
20068.3,64.8
20097.6,63.8
20127.1,62.8
20157.0,61.4
20187.6,59.2
20219.6,56.6
20236.3,55.0
20271.3,52.0
20307.4,49.4
20325.9,48.4
20362.9,47.0
20400.2,44.4
20419.3,42.6
20457.8,39.6
20476.8,38.8
20513.9,37.4
20549.8,35.8
20567.5,34.6
20602.9,32.2
20638.4,29.4
20656.5,27.8
20693.6,24.0
20712.9,22.0
20753.0,17.8
20773.6,15.8
20815.6,12.4
20836.8,10.6
20858.1,8.8
20900.2,7.6
20920.7,7.4
20960.1,7.4
20979.0,7.4
21015.1,7.4
21049.1,6.8
21082.4,6.2
21098.8,5.8
21130.8,5.2
21162.2,4.4
21193.1,3.8
21223.5,3.2
21253.4,2.6
21282.9,2.0
21312.0,1.6
21340.9,1.2
21369.5,1.0
21397.3,1.0
21438.0,1.0
21464.8,1.0
21490.8,1.0
21516.2,0.8
21553.5,0.8
21578.0,0.8
21613.8,0.8
21637.3,0.8
21672.2,0.8
21695.6,0.8
21730.5,0.6
21764.9,0.6
21787.2,0.6
21820.6,0.8
21854.4,0.8
21877.1,0.8
21911.3,0.8
21934.3,0.8
21968.7,0.8
22003.2,0.8
22026.0,0.8
22059.5,1.2
22092.2,1.4
22113.7,1.8
22145.7,2.2
22177.3,2.4
22208.0,2.8
22238.4,3.2
22268.9,3.4
22299.7,3.8
22320.1,3.8
22350.8,4.0
22381.5,4.4
22412.2,4.6
22443.2,4.8
22474.1,5.0
22505.0,5.2
22536.0,5.4
22566.7,5.6
22597.4,5.8
22617.9,6.0
22648.3,6.4
22678.7,6.8
22709.3,7.0
22739.8,7.4
22770.2,7.6
22800.6,8.0
22831.0,8.2
22861.7,8.6
22892.3,8.8
22922.6,9.2
22953.4,9.2
22974.2,9.4
23004.8,9.6
23035.5,10.0
23066.2,10.4
23096.9,10.6
23127.7,11.0
23158.4,11.2
23188.9,11.6
23219.2,11.8
23249.2,12.2
23278.7,12.8
23308.0,13.0
23337.0,13.4
23365.8,13.6
23394.7,14.0
23424.0,14.2
23453.4,14.4
23483.3,14.8
23513.3,15.0
23543.6,15.2
23573.8,15.4
23603.8,15.8
23634.2,15.6
23665.8,15.6
23696.6,16.4
23724.6,17.8
23750.4,19.0
23784.2,19.8
23810.9,20.0
23838.7,20.0
23867.6,19.8
23897.8,19.4
23929.9,18.4
23965.2,17.0
23990.1,16.0
24015.9,15.2
24055.6,14.6
