distance_m,altitude_m
8815.800000000001,123.8
8842.400000000001,123.8
8868.5,123.8
8894.1,123.8
8919.2,124.0
8946.2,124.8
8969.0,125.0
8996.900000000001,125.0
9021.300000000001,125.0
9046.300000000001,125.0
9071.7,125.0
9097.300000000001,125.0
9117.800000000001,125.0
9144.1,125.0
9172.300000000001,124.8
9193.800000000001,125.2
9220.5,126.0
9246.5,126.8
9270.300000000001,127.4
9296.1,128.2
9322.300000000001,128.6
9346.7,128.8
9369.5,128.8
9395.800000000001,128.8
9423.400000000001,128.8
9446.5,129.0
9470.400000000001,129.0
9497.1,128.6
9521.6,128.0
9548.800000000001,127.6
9570.2,127.2
9599.5,127.0
9621.0,127.2
9647.300000000001,127.6
9670.6,128.0
9696.6,128.4
9723.7,128.8
9749.300000000001,128.8
9774.400000000001,128.4
9798.7,127.8
9825.300000000001,127.4
9846.300000000001,127.2
9874.5,127.0
9901.900000000001,127.2
9921.800000000001,127.2
9948.2,126.8
9976.2,126.4
9998.2,126.0
10028.400000000001,125.8
10051.300000000001,125.4
10074.800000000001,125.0
10098.800000000001,124.6
10123.2,124.2
10148.2,123.6
10174.5,123.0
10200.6,123.0
10225.400000000001,123.0
10249.300000000001,123.0
10272.300000000001,123.0
10301.800000000001,123.0
10323.400000000001,123.0
10351.1,123.2
10375.7,123.8
10403.2,124.8
10426.0,125.4
10453.5,125.6
10474.800000000001,125.4
10503.400000000001,125.4
10528.0,125.4
10552.400000000001,125.6
10575.6,125.8
10602.900000000001,126.0
10626.1,126.0
10654.400000000001,126.2
10679.7,126.6
10702.5,127.0
10728.1,127.2
10755.400000000001,127.4
10776.7,127.4
10805.5,127.0
10827.300000000001,126.8
10851.6,126.2
10879.2,125.6
10907.6,125.6
10928.1,125.6
10954.5,125.6
10980.2,125.6
11005.2,125.6
11029.7,125.6
11053.6,125.6
11077.400000000001,125.4
11106.900000000001,125.4
11129.900000000001,125.6
11158.1,125.6
11180.400000000001,125.6
11208.2,125.6
11230.400000000001,125.6
11257.900000000001,125.6
11279.800000000001,125.6
11307.2,125.6
11329.0,125.6
11356.300000000001,125.6
11383.5,125.6
11405.300000000001,125.6
11432.400000000001,125.6
11459.6,125.6
11481.300000000001,125.6
11508.400000000001,125.6
11530.0,125.6
11557.1,125.6
11584.2,125.6
11605.800000000001,125.6
11632.900000000001,125.6
11659.300000000001,125.8
11682.1,126.2
11709.7,126.8
11733.2,127.2
11758.800000000001,127.8
11782.900000000001,128.2
11807.400000000001,128.6
11832.7,129.2
11860.2,129.6
11884.7,130.2
11910.2,130.8
11933.5,131.2
11959.0,131.6
11984.1,132.0
12011.2,131.8
12034.7,131.4
12058.5,130.4
12088.2,129.2
12114.0,128.2
12132.0,128.0
12158.6,127.6
12184.800000000001,127.4
12210.5,127.2
12236.0,127.0
12261.1,126.8
12285.800000000001,126.4
12310.5,126.2
12335.0,126.0
12359.2,125.8
12383.300000000001,125.6
12414.800000000001,125.6
12436.6,126.0
12463.300000000001,126.4
12486.900000000001,126.8
12512.300000000001,127.2
12538.1,127.8
12563.1,128.4
12586.800000000001,128.8
12612.0,129.4
12636.0,129.2
12664.0,128.6
12689.0,127.6
12711.800000000001,126.6
12737.2,126.0
12762.0,126.0
12785.5,126.0
12815.400000000001,126.0
12836.800000000001,126.0
12864.900000000001,126.0
12892.2,126.0
12912.2,126.0
12938.2,126.0
12963.6,126.0
12988.5,126.0
13012.800000000001,126.0
13041.6,126.4
13066.7,126.8
13089.300000000001,127.0
13114.900000000001,126.6
13138.0,126.4
13166.900000000001,126.4
13190.1,126.4
13217.2,127.0
13241.2,127.2
13265.400000000001,127.2
13289.7,127.2
13314.6,127.2
13341.300000000001,127.0
13364.7,126.6
13389.900000000001,126.2
13416.1,126.0
13442.2,126.0
13467.5,126.0
13492.300000000001,126.0
13516.400000000001,126.0
13540.2,126.0
13569.5,126.0
13592.5,126.0
13615.300000000001,126.0
13644.2,125.8
13669.300000000001,125.2
13690.0,124.8
13717.400000000001,125.0
13743.2,125.0
13767.7,125.2
13791.0,125.2
13818.2,125.6
13841.6,126.0
13867.900000000001,126.2
13896.0,126.0
13921.2,126.0
13941.7,126.0
13968.5,125.8
13992.0,125.4
14017.0,125.2
14047.5,125.4
14070.7,125.6
14093.6,125.4
14117.5,125.2
14142.800000000001,124.8
14170.1,124.2
14192.400000000001,123.8
14224.0,123.0
14248.900000000001,122.6
14274.6,122.0
14291.900000000001,121.8
14317.2,122.0
14347.2,122.6
14372.900000000001,123.2
14395.6,123.6
14419.900000000001,124.0
14447.7,124.6
14470.800000000001,125.2
14495.300000000001,125.4
14521.2,125.4
14546.900000000001,125.4
14571.900000000001,125.2
14597.0,125.4
14620.800000000001,125.6
14649.6,125.8
14672.7,126.0
14698.5,126.4
14723.6,126.6
14748.6,126.8
14772.7,127.0
14797.6,127.0
14821.900000000001,126.8
14849.0,126.6
14876.5,126.6
14898.7,126.6
14926.5,126.6
14949.400000000001,126.6
14971.7,126.6
15000.1,126.6
15022.6,126.6
15050.900000000001,126.6
15073.800000000001,126.6
15097.300000000001,126.4
15127.1,126.4
15151.0,126.4
15174.300000000001,126.4
15202.900000000001,126.4
15225.2,126.4
15253.5,126.4
15276.400000000001,126.4
15299.300000000001,126.4
15327.900000000001,126.4
15351.0,126.2
15375.2,126.0
15400.400000000001,125.8
15426.400000000001,125.6
15453.6,125.2
15474.300000000001,125.2
15501.2,125.2
15527.0,125.4
15552.300000000001,125.4
15576.900000000001,125.4
15601.0,125.4
